Dataset Title,Date,Producer,Abstract,How to Cite This,Keywords,Access URL
"ABC News Post-Election Poll #1, November 2000  ",2000,ABC News,"This special topic poll, fielded November 12, 2000, is part of a continuing series of monthly surveys that solicit public opinion on the presidency and on a range of other political and social issues. This data collection focused on the presidential election that took place on November 7, 2000. Respondents were asked about the extent of their personal interest in and concern about the situation in the country five days after the election. Questions examined opinions on the way various groups were handling the election, including Vice President Al Gore's and Texas governor George W. Bush's campaigns, local officials in Florida, and the news media. Respondents were also asked whom they wanted to see become the next president. Opinions were elicited on the need for a new presidential election in Palm Beach County, Florida, in the entire state of Florida, in other states where election results were very close, and across the entire country. Additional topics covered whether George W. Bush and Al Gore should accept the recount in Florida or should ask courts to look into whether the voting was unfair and if they should ask for a recount in other states where the results were very close. Those polled expressed their views about electing the president by direct popular vote versus by the Electoral College, their confidence about the accuracy of Florida's recount, and whether the ballot that was used in Palm Beach County was fair. The survey also investigated what impact the unclear post-election situation would have, especially on the country's system of presidential elections. Background information on respondents includes age, gender, education, race, partyaffiliation, political orientation, and voter registration.","ABC News. ABC NEWS POST-ELECTION POLL #1, NOVEMBER 2000. ICPSR version. Horsham, PA: Taylor Nelson Sofres Intersearch [producer], 2000. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2001. http://doi.org/10.3886/ICPSR03116.v1",bush george w; contested elections; election process; election returns; electoral college; electoral systems; gore al; news media; political issues; presidency; presidential candidates; presidential elections; public opinion; public opinion; vote recounts; voter attitudes; voting ballots; voting machines,https://odesi.ca/#/details?uri=/icpsr/03116.xml
"Federal Justice Statistics Program: Charges Filed Against Defendants in Criminal Cases in District Court -- Terminated, 2009",2008,United States Department of Justice. Office of Justice Programs. Bureau of Justice Statistics,"The data contain records of charges filed against defendants whose cases were terminated by United States attorneys in United States district court during fiscal year 2009. The data are charge-level records, and more than one charge may be filed against a single defendant. The data were constructed from the Executive Office for United States Attorneys (EOUSA) Central Charge file. The charge-level data may be linked to defendant-level data (extracted from the EOUSA Central System file) through the CS_SEQ variable, and it should be noted that some defendants may not have any charges other than the lead charge appearing on the defendant-level record. The Central Charge and Central System data contain variables from the original EOUSA files as well as additional analysis variables, or ""SAF"" variables, that denote subsets of the data. These SAF variables are related to statistics reported in the Compendium of Federal Justice Statistics. Variables containing identifying information (e.g., name, Social Security Number) were replaced with blanks, and the day portions of date fields were also sanitized in order to protect the identities of individuals. These data are part of a series designed by the Urban Institute (Washington, DC) and the Bureau of Justice Statistics. Data and documentation were prepared by the Urban Institute.","United States Department of Justice. Office of Justice Programs. Bureau of Justice Statistics. Federal Justice Statistics Program: Charges Filed Against Defendants in Criminal Cases in District Court -- Terminated, 2009. ICPSR30789-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2011-06-03. http://doi.org/10.3886/ICPSR30789.v1",defendants; district courts; offenses; prosecution,https://odesi.ca/#/details?uri=/icpsr/30789.xml
"Multiple Cause of Death Public Use Files, 2000-2002",2000,United States Department of Health and Human Services. National Center for Health Statistics,"This data collection includes information about the cause of all recorded deaths occurring in the United States, Puerto Rico, the Virgin Islands, Guam, American Samoa, and the Commonwealth of the Northern Marianas during 2000, 2001, and 2002. Data are provided concerning underlying causes of death, multiple conditions that caused the death, place of death, residence of the deceased (e.g., region, division, state, county), whether an autopsy was performed, and the month and day of the week of the death. In addition, data are supplied on the sex, race, age, marital status, education, usual occupation, and origin or descent of the deceased. Mortality detail data can be extracted from this file. The mortality detail records are contained in the first 159 positions of these multiple cause records. In addition to the combined Territory Public-Use file for each year, a subset based on state of occurrence has been created for Puerto Rico, Virgin Islands, American Samoa, Guam, and Northern Marianas. The multiple cause of death fields were coded from the MANUAL OF THE INTERNATIONAL STATISTICAL CLASSIFICATION OF DISEASES AND RELATED HEALTH PROBLEMS, TENTH REVISION (ICD-10), VOLUMES 1, 2, AND 3. Information regarding the use of ICD-10 codes may be found athttp://www.cdc.gov/nchs/icd9.htm.","U.S. Dept. of Health and Human Services, National Center for Health Statistics. MULTIPLE CAUSE OF DEATH PUBLIC USE FILES, 2000-2002. ICPSR04640-v1. Hyattsville, MD: U.S. Dept. of Health and Human Services, National Center for Health Statistics [producer], 2002. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2007-02-07. http://doi.org/10.3886/ICPSR04640.v1",age; causes of death; death; death records; ethnicity; fatalities; gender; marital status; mortality rates; race,https://odesi.ca/#/details?uri=/icpsr/04640.xml
"Canadian Gallup Poll, June 1976, #389",1976,Gallup Canada,"This Gallup poll seeks the opinions of Canadians, on both political and social issues. The questions ask opinions about the Federal government and other political issues within the country. There are also questions on other topics of interest and importance to the country such as opinions about receiving and paying traffic tickets, places to eat out at and living together before marriage. The respondents were also asked questions so that they could be grouped according to geographical variables. Topics of interest include: the frequency of eating out; going to court because of a traffic ticket; the influence of television; licensed drivers taking physicals; living together before marriage; the opinions of the Federal government since last election; pampering children; paying traffic tickets; the rising price of income and taxes; places to eat out at; receiving traffic tickets; running the government; sale of nuclear reactors; and taking work instead of welfare. Basic demographic variables are also included.","Gallup Canada, 2019, ""Canadian Gallup Poll, June 1976, #389"", https://doi.org/10.5683/SP2/FYRGZL, Scholars Portal Dataverse, V1, UNF:6:x0P5zqIMlRKzop8igpgcbQ== [fileUNF]",social sciences; public opinion poll; canada,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP2_FYRGZL.xml
"Effects of elevated CO2 on photosynthetic traits of native and invasive C3 and C4 grasses (2012 and 2013, south-central Ontario, Canada)",2012,"Newman, Jonathan A.","We assessed the responses of photosynthetic traits of native and invasive C3 and C4 grasses to atmospheric carbon dioxide levels. We used three levels of CO2 (390, 700, and 1000 ppm) in a closed chamber experiment and tested 16 grass species (eight C3 plants and eight C4) classified as noninvasive or invasive. We tested the hypotheses that invasive species would be more productive under elevated CO2 and that the strongest responses would be seen in C3 plants.","Hager, Heather A.; Ryan, Geraldine D.; Kovacs, Hajnal M.; Newman, Jonathan A., 2016, ""Effects of elevated CO2 on photosynthetic traits of native and invasive C3 and C4 grasses (2012 and 2013, south-central Ontario, Canada)"", hdl:10864/TZBTY, Scholars Portal Dataverse, V2",carbon dioxide; climate change; cn ratio; co2; conductance; grass; invasive; native; nonnative; photosynthesis; photosynthetic traits; root biomass; shoot biomass; specific leaf area; stomatal density; tiller production,https://odesi.ca/#/details?uri=/dataverse_sp/hdl--10864_TZBTY.xml
"Eurobarometer 74.1: Poverty and Social Exclusion, Mobile Phone Use, Economic Crisis, and International Trade, August-September 2010",2010,European Commission,"This round of Eurobarometer surveys diverged from the Standard Eurobarometer measures and queried respondents on the following major areas of focus: (1) poverty and social exclusion, (2) mobile phone use, (3) economic crisis, and (4) international trade. For the first major area of focus, poverty and social exclusion, the survey queried respondents about their own definition of poverty, the extent of poverty and homelessness in their area, and whether or not respondents believed poverty had increased in their area and elsewhere. Respondents were queried about what necessities people must be able to afford to meet a minimal acceptable living standard, who is most at risk for poverty, as well as the social, political, and personal causes of poverty and homelessness. Respondents were also asked about how poverty impacts peoples’ chances of completing certain activities, such as getting a good education or finding a job. Respondents were then asked whether or not they trust the European Union (EU), their governments, charities, other citizens, and miscellaneous institutions to effectively respond to poverty. Respondents were also asked to whom they assign primary responsibility for reducing or preventing poverty, what policies their governments should focus on in the future in the effort to help people out of poverty, and whether or not respondents approved of their government’s existing anti-poverty measures. Respondents were also queried about their perception of social tensions between groups, and about what they have done personally to help poor people. Additionally, respondents were queried about their own living conditions, satisfaction with life, ability to keep a job, efforts to fight poverty, finances, and their own risk of falling into poverty. For the second major area of focus, mobile phone use, the survey asked respondents about whether or not they owned a mobile phone, their mobile phone use in other EU countries, and the cost of cellular phone service in those countries. For the third major area of focus, economic crisis, the survey questioned respondents about the degree to which the crisis personally affected them, how the crisis affected the EU and its policy efforts, who should bear responsibility for the crisis, who should bear the burden of response to the crisis, and how the European Parliament and other bodies should respond to the crisis. For the fourth major area of focus, international trade, the survey queried respondents on whether they pay attention to the country of origin for products they purchase, how trade impacts respondents and their countries, what European Union trade policy should be going into the future, and the European Union’s international economic standing. Demographic and other background information collected includes age, gender, nationality, marital status and parental relations, left-right political self-placement, occupation, age when stopped full-time education, household composition, ownership of a fixed or a mobile telephone and other durable goods, difficulties in paying bills, level in society, and Internet use. In addition, country-specific data includes type and size of locality, region of residence, and language of interview (select countries).","European Commission. Eurobarometer 74.1: Poverty and Social Exclusion, Mobile Phone Use, Economic Crisis, and International Trade, August-September 2010. ICPSR34222-v3. Cologne, Germany: GESIS/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2013-07-02. http://doi.org/10.3886/ICPSR34222.v3",attitudes; cellular phones; child care; durable goods; economic crises; economic integration; european parliament; european unification; european union; globalization; homelessness; international trade; life satisfaction; national economy; personal finances; poverty; poverty programs; public opinion; social conflict; social services; social support; social welfare,https://odesi.ca/#/details?uri=/icpsr/34222.xml
"International Social Survey Programme 2007 [Canada]: Leisure Time and Sports",2007,Carleton University Survey Centre,Canada was not able to participate in this survey due to lack of funding. Therefore there is no data for Canada.,"Fry, Jane, 2010.International Social Survey Programme 2007 [Canada]: Leisure Time and Sports. Data Centre. Carleton University, Ottawa, Ontario.",,https://odesi.ca/#/details?uri=/odesi/issp-ZA4850-E-2007-canada.xml
"Research on Minorities, [1981]: Race and Crime in Atlanta and Washington, DC",1981,"Debro, Julius","This data collection effort is an investigation ofcriminological and sociological factors within the Black communitywith a focus on the alleged high incidence of violent crime committedby Blacks. Four communities within Atlanta, Georgia, and four withinWashington, DC, were selected for the study. Two communities in eacharea were designated high-crime areas, the other two low-crime areas.Variables include the respondents' opinions on the relationship of raceand socioeconomic class to crime, their fear of crime and experienceswith crime, and contacts and attitudes toward the police. Demographicdata include respondents' gender and religion.","Debro, Julius. Research on Minorities, [1981]: Race and Crime in Atlanta and Washington, DC. ICPSR08459-v2. Ann Arbor, MI: Inter-university Consortium for Political and Social Research  [distributor], 1998. http://doi.org/10.3886/ICPSR08459.v2",african americans; crime; fear of crime; police community relations; race; reactions to crime; socioeconomic status; violent crime,https://odesi.ca/#/details?uri=/icpsr/08459.xml
"Michigan Student Study:  Opinions, Expectations, and Experiences of Undergraduate Students, 1990-1994",1990,"Matlock, John","The Michigan Student Study was designed to examine the factors that influence students' intellectual responses to issues of racial and ethnic diversity. The focus was not only on the attitudes and experiences of students of color (Asian American, Latino/Hispanic, African American and Native American students) but on the contribution of diversity to the broader intellectual experiences of White students as well. The longitudinal design of the Michigan Study allowed for consideration of what students bring to the university at entrance, as well as documenting important changes as they move toward graduation. One set of questions addressed the general undergraduate experience of students at the University of Michigan, the positive and negative aspects of their experiences with faculty, interactions with fellow students, extracurricular involvements, reactions to their academic and intellectual experiences, and how similar or different the experiences of students of different racial/ethnic backgrounds were. Another set of questions dealt with the racial ""climate"" on campus, the degree of racial tension, the students' perceptions of and responses to the University's commitment to multiculturalism and diversity, the perceptions and views that students brought to the campus and how much they were affected and changed by their experiences at the University of Michigan, the positive aspects and specific arenas of concern for the various groups of students around multiculturalism, and the relevancy of the University's commitment tomulticulturalism and diversity.","Gurin, Gerald, and John Matlock. Michigan Student Study:  Opinions, Expectations, and Experiences of Undergraduate Students, 1990-1994. ICPSR04027-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2004. http://doi.org/10.3886/ICPSR04027.v1",cultural diversity; education; educational environment; educational opportunities; educational populations; ethnic groups; ethnic identity; minorities; race relations; racial attitudes; student attitudes; student behavior; university students,https://odesi.ca/#/details?uri=/icpsr/04027.xml
"Eurobarometer 65.2: The European Constitution, Social and Economic Quality of Life, Avian Influenza, and Energy Issues, March-May 2006",2006,"Papacostas, Antonis","This round of Eurobarometer surveys queried respondents on standard Eurobarometer measures, such as how satisfied they were with their present life, whether they attempted to persuade others close to them to share their views on subjects they held strong opinions about, whether they discussed political matters, and how they viewed the need for societal change. Additional questions focused on the respondents' knowledge of and opinions on the European Union (EU) including how well-informed they felt about it, what sources of information about the EU they used, whether their country had benefited from being an EU member (or would benefit from being a future member), and the extentof their personal interest in EU matters. Another major focus of the surveys was to ask respondents to express their opinion in regard to the European Constitution, including its adoption and ratification. Respondents also were asked about EU enlargement including whom they would favor to join the EU, the political, social, and economic effects of enlargement, and initiatives for the success of further EU enlargement. In addition, respondents were asked questions about exports versus imports and migration among the EU's old and new member states, the accession of Western Balkan countries and Turkey, and  financial assistance available to EU member and candidate countries. Special topics included quality of life, avian influenza, and energy issues. For the first special topic, quality of life, the survey asked respondents to evaluate the economic, social, and environmental situation among several domains, in addition to their personal financial status and quality of life, and to identify priorities for the improvement of the EU economy. For the next special topic, respondents were queried about avian influenza, its transmission,  regulations preventing its spread, their behavior in consuming poultry and eggs, dissemination of health information, and public safety. For the final special topic, respondents answered questions about their usage of energy and how the EU citizens and government could reduce energy consumption and utilize alternative resources. Demographic and other background information includes age, gender, nationality, birthplace, marital status, left-right political self-placement, occupation, age at completion of full-time education, household composition, religious affiliation and involvement, and ownership of a fixed or a mobile telephone and other durable goods. In addition, country-specific data include size of locality, region of residence, language of interview (select countries), and a list of television channels, radio stations, and daily newspapers that respondents regularly viewed, listened to, or read during the course of a week.","Papacostas, Antonis. Eurobarometer 65.2: The European Constitution, Social and Economic Quality of Life, Avian Influenza, and Energy Issues, March-May 2006. ICPSR20322-v2. Cologne, Germany: GESIS/Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributors], 2010-06-30. http://doi.org/10.3886/ICPSR20322.v2",agricultural policy; attitudes; citizen attitudes; constitutions; consumer behavior; economic integration; economic issues; energy conservation; european economic community; european unification; european union; foreign policy; government; health attitudes; health behavior; health policy; information dissemination; international economics; life satisfaction; media use; political attitudes; political influence; political issues; products; public health; public opinion; public policy; public safety; quality of life; social attitudes; social change; social issues; trust in government,https://odesi.ca/#/details?uri=/icpsr/20322.xml
